2026-04-02 05:45:15,142 | INFO | [LOW] enrollment_complete | User enrolled at 2026-04-02T05:45:15.128432
2026-04-02 05:45:15,275 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:45:19,175 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:45:20,319 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:45:24,336 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:45:25,663 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:45:30,490 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:45:30,700 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:45:35,724 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:45:35,924 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:45:40,766 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:45:42,594 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:45:47,639 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:45:49,820 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:45:50,951 | INFO | [LOW] session_ended | Proctoring session ended
