2026-04-02 05:48:36,467 | INFO | [LOW] enrollment_complete | User enrolled at 2026-04-02T05:48:36.454444
2026-04-02 05:48:37,166 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:48:37,670 | INFO | [MEDIUM] eyes_hidden | Face detected but eyes not visible
2026-04-02 05:48:42,747 | INFO | [MEDIUM] eyes_hidden | Face detected but eyes not visible
2026-04-02 05:48:44,451 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:48:47,916 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:48:48,235 | INFO | [HIGH] face_missing | No face in frame
2026-04-02 05:48:51,072 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:48:53,256 | INFO | [HIGH] face_missing | No face in frame
2026-04-02 05:48:53,423 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:48:56,231 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:48:58,448 | INFO | [HIGH] face_missing | No face in frame
2026-04-02 05:48:58,616 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:49:02,513 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:49:03,818 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:49:07,599 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:49:07,913 | INFO | [HIGH] face_missing | No face in frame
2026-04-02 05:49:10,890 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:49:12,886 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:49:14,722 | INFO | [LOW] session_ended | Proctoring session ended
