2026-04-02 05:33:37,952 | INFO | [LOW] enrollment_complete | User enrolled at 2026-04-02T05:33:37.938787
2026-04-02 05:33:39,623 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:33:44,781 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:33:49,890 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:33:54,918 | INFO | [HIGH] multiple_faces | 3 faces detected simultaneously
2026-04-02 05:33:59,978 | INFO | [HIGH] multiple_faces | 4 faces detected simultaneously
2026-04-02 05:34:05,132 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:34:10,191 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:34:16,094 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:34:18,913 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:34:21,215 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:34:23,306 | INFO | [HIGH] face_missing | No face detected in frame
2026-04-02 05:34:24,122 | INFO | [HIGH] wrong_person | Unrecognized face — possible impersonation
2026-04-02 05:34:26,348 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:34:31,588 | INFO | [HIGH] multiple_faces | 2 faces detected simultaneously
2026-04-02 05:34:36,816 | INFO | [HIGH] multiple_faces | 3 faces detected simultaneously
2026-04-02 05:34:41,907 | INFO | [HIGH] multiple_faces | 3 faces detected simultaneously
2026-04-02 05:34:44,391 | INFO | [LOW] session_ended | Proctoring session ended by user
