2026-04-02 10:14:11,154 | INFO | [LOW] enrollment_complete | Enrolled at 2026-04-02T10:14:11.123748
2026-04-02 10:14:24,092 | INFO | [MEDIUM] head_away | yaw=-44.3 pitch=-10.9 phone_down=0
2026-04-02 10:14:24,321 | INFO | [HIGH] cheat_object_detected | Detected: Earphone?
2026-04-02 10:14:24,335 | INFO | [LOW] cheat_object_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/cheat_object_20260402_154424.jpg
2026-04-02 10:14:27,424 | INFO | [LOW] exam_resumed | Object removed — resumed
2026-04-02 10:14:31,635 | INFO | [HIGH] multiple_faces | 2 faces
2026-04-02 10:14:31,650 | INFO | [LOW] multiple_faces_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/multiple_faces_20260402_154431.jpg
2026-04-02 10:14:31,877 | INFO | [HIGH] wrong_person | conf:64
2026-04-02 10:14:31,889 | INFO | [LOW] wrong_person_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/wrong_person_20260402_154431.jpg
2026-04-02 10:14:38,708 | INFO | [HIGH] multiple_faces | 2 faces
2026-04-02 10:14:38,721 | INFO | [LOW] multiple_faces_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/multiple_faces_20260402_154438.jpg
2026-04-02 10:14:43,735 | INFO | [HIGH] multiple_faces | 2 faces
2026-04-02 10:14:43,750 | INFO | [LOW] multiple_faces_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/multiple_faces_20260402_154443.jpg
2026-04-02 10:14:44,569 | INFO | [HIGH] wrong_person | conf:66
2026-04-02 10:14:44,584 | INFO | [LOW] wrong_person_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/wrong_person_20260402_154444.jpg
2026-04-02 10:14:51,892 | INFO | [HIGH] wrong_person | conf:90
2026-04-02 10:14:51,912 | INFO | [LOW] wrong_person_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/wrong_person_20260402_154451.jpg
2026-04-02 10:14:53,692 | INFO | [HIGH] cheat_object_detected | Detected: Earphone?
2026-04-02 10:14:53,710 | INFO | [LOW] cheat_object_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/cheat_object_20260402_154453.jpg
2026-04-02 10:14:55,094 | INFO | [LOW] exam_resumed | Object removed — resumed
2026-04-02 10:14:56,952 | INFO | [HIGH] wrong_person | conf:79
2026-04-02 10:14:56,965 | INFO | [LOW] wrong_person_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/wrong_person_20260402_154456.jpg
2026-04-02 10:15:01,986 | INFO | [HIGH] wrong_person | conf:110
2026-04-02 10:15:01,997 | INFO | [LOW] wrong_person_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/wrong_person_20260402_154501.jpg
2026-04-02 10:15:09,938 | INFO | [HIGH] wrong_person | conf:78
2026-04-02 10:15:09,949 | INFO | [LOW] wrong_person_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/wrong_person_20260402_154509.jpg
2026-04-02 10:15:14,979 | INFO | [HIGH] wrong_person | conf:85
2026-04-02 10:15:14,992 | INFO | [LOW] wrong_person_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/wrong_person_20260402_154514.jpg
2026-04-02 10:15:15,703 | INFO | [HIGH] multiple_faces | 2 faces
2026-04-02 10:15:15,721 | INFO | [LOW] multiple_faces_screenshot | Evidence saved: /Users/arihantkaul/proctored-browser/logs/evidence/multiple_faces_20260402_154515.jpg
